title,type,netflix_original
Catching Killers,TV Show,True
Break Point,TV Show,True
Full Swing,TV Show,True
Murdaugh Murders: A Southern Scandal,TV Show,True
In the Name of God: A Holy Betrayal,TV Show,True
Emergency: NYC,TV Show,True
American Manhunt: The Boston Marathon Bombing,TV Show,True
Running for My Truth:Alex Schwazer,TV Show,True
How to Get Rich,TV Show,True
Chimp Empire,TV Show,True
Missing: Dead or Alive?,TV Show,True
Queen Cleopatra,TV Show,True
MerPeople,TV Show,True
The Playing Card Killer,TV Show,True
The King Who Never Was,TV Show,True
Quarterback,TV Show,True
How to Become a Cult Leader,TV Show,True
The Hunt for Veerappan,TV Show,True
Spy Ops,TV Show,True
Wrestlers,TV Show,True
Who KilledJill Dando?,TV Show,True
Encounters,TV Show,True
Vasco Rossi: Living It,TV Show,True
Get Gotti,TV Show,True
Life on Our Planet,TV Show,True
Mysteries of the Faith,TV Show,True
Escaping Twin Flames,TV Show,True
How to Become a Mob Boss,TV Show,True
Bad Surgeon: Love Under the Knife,TV Show,True
World War II: From the Frontlines,TV Show,True
Under Pressure: The U.S. Women's World Cup Team,TV Show,True
If I WereLuísa Sonza,TV Show,True
Queer Eye,TV Show,True
Car Masters: Rust to Riches,TV Show,True
Selling Sunset,TV Show,True
Rhythm + Flow,TV Show,True
The Circle,TV Show,True
Next in Fashion,TV Show,True
Love Is Blind,TV Show,True
Too Hot to Handle,TV Show,True
Indian Matchmaking,TV Show,True
Barbecue Showdown,TV Show,True
Fabulous Lives of Bollywood Wives,TV Show,True
Love Is Blind: Brazil,TV Show,True
I Am Georgina,TV Show,True
Is It Cake?,TV Show,True
"Young, Famous & African",TV Show,True
The Ultimatum: Marry or Move On,TV Show,True
Love on the Spectrum U.S.,TV Show,True
Rhythm + Flow France,TV Show,True
Selling the OC,TV Show,True
Dubai Bling,TV Show,True
Buying Beverly Hills,TV Show,True
Physical: 100,TV Show,True
Perfect Match,TV Show,True
Too Hot to Handle: Germany,TV Show,True
Cheat,TV Show,True
Outlast,TV Show,True
The Law of the Jungle,TV Show,True
Dance 100,TV Show,True
The Signing,TV Show,True
IRL – In Real Love,TV Show,True
King of Collectibles: The Goldin Touch,TV Show,True
Love Village,TV Show,True
Jewish Matchmaking,TV Show,True
The Ultimatum: Queer Love,TV Show,True
Siren: Survive the Island,TV Show,True
Tex Mex Motors,TV Show,True
Is She the Wolf?,TV Show,True
Social Currency,TV Show,True
Deep Fake Love,TV Show,True
Hack My Home,TV Show,True
Nineteen to Twenty,TV Show,True
Sugar Rush: The Baking Point,TV Show,True
The Big Nailed It Baking Challenge,TV Show,True
Zombieverse,TV Show,True
At Home with the Furys,TV Show,True
The Devil's Plan,TV Show,True
Stranded with My Mother-in-Law,TV Show,True
Surviving Paradise,TV Show,True
Fame After Fame,TV Show,True
Squid Game: The Challenge,TV Show,True
Comedy Royale,TV Show,True
